item_id,so_ky_hieu,loai_qc_tc,linh_vuc_mapped,file_count,source_url
"221","QCVN 22:2010/BGTVT","Quy chuẩn","Kiểm tra theo luật thiết bị nâng, bình chịu áp lực, nồi hơi; Phương tiện cơ giới đường bộ",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=221"
"222","QCVN 24:2010/BGTVT","Quy chuẩn","Chứng nhận sản phẩm công nghiệp; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Sản phẩm công nghiệp",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=222"
"209","QCVN 67:2013/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ; Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=209"
"205","QCVN 91:2015/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=205"
"195","QCVN 97:2016/BGTVT","Quy chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=195"
"220","Sửa đổi 1: 2016 QCVN 21: 2015/BGTVT","Quy chuẩn","Thẩm định thiết kế tàu biển",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=220"
"219","Sửa đổi 1:2015 QCVN 68:2013/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ; Thử nghiệm xe cơ giới, xe máy chuyên dùng và phụ tùng xe cơ giới",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=219"
"211","Sửa đổi 2:2010 TCVN 7271:2003","Tiêu chuẩn","Phương tiện cơ giới đường bộ; Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=211"
"216","TCVN 3821:2008","Tiêu chuẩn","Phương tiện cơ giới đường bộ; Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=216"
"217","TCVN 3824:2008","Tiêu chuẩn","Phương tiện cơ giới đường bộ; Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=217"
"166","TCVN 6170-10:2019","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=166"
"165","TCVN 6170-9:2019","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=165"
"169","TCVN 7229:2003","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=169"
"170","TCVN 7230:2003","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=170"
"212","TCVN 7285:2003","Tiêu chuẩn","Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=212"
"213","TCVN 8-20:2002","Tiêu chuẩn","Phương tiện cơ giới đường bộ; Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=213"
"215","TCVN 8-34:2002","Tiêu chuẩn","Phương tiện cơ giới đường bộ; Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=215"
"138","QCVN 59:2013/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=138"
"140","QCVN 61:2013/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=140"
"141","QCVN 62:2013/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=141"
"142","QCVN 63:2013/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=142"
"143","QCVN 72:2014/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=143"
"145","QCVN 74:2014/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=145"
